dcp,legdgn01,dcpaix21702413,dcppwr21402010,10.141.65.106,16,149,PFE_07_CI,10.141.65.107,DVEBMGS07
dcp,legdgn01,dcpaix21741514,dcppwr21091681,10.141.65.116,30,149,AGE_02_CI,10.141.65.117,DVEBMGS02
dcp,legdgn01,dcpaix21741781,dcppwr21091681,10.141.65.144,40,149,JGB_01_JI,10.141.65.168,SCS01
dcp,legdgn01,dcpaix21741781,dcppwr21091681,10.141.65.144,40,149,AGB_76_CI,10.141.65.145,DVEBMGS76
dcp,legdgn01,dcpaix21755526,dcppwr21091681,10.141.65.129,32,149,PT1_35_JI,10.141.65.132,SCS35
dcp,legdgn01,dcpaix21764174,dcppwr21175802,10.141.65.171,29,149,GQL_18_JI,10.141.65.172,SCS18
dcp,legdgn01,dcpaix21765395,dcppwr21175815,10.141.65.175,21,149,GRL_14_JI,10.141.65.176,SCS14
dcp,legdgn01,dcpaix21765402,dcppwr21175815,10.141.65.180,17,149,HPS_22_CI,10.141.65.182,DVEBMGS22
dcp,legdgn01,dcpaix21765402,dcppwr21175815,10.141.65.180,17,149,HQS_21_CI,10.141.65.181,DVEBMGS21
dcp,legdgn01,dcpaix21765423,dcppwr21175815,10.141.65.177,25,149,S02_25_CI,10.141.65.178,DVEBMGS25
dcp,legdgn01,dcpaix21798451,dcppwr21695550,10.141.65.183,59,149,D03_28_CI,10.141.65.184,DVEBMGS28
dcp,legdgn01,dcpaix21830084,dcppwr21695550,10.141.65.195,150,149,T03_27_CI,10.141.65.196,DVEBMGS27
dcp,legdgn01,dcpaix21912393,dcppwr21175815,10.141.66.26,40,149,TST_01_CI,10.141.66.27,DVEBMGS01
dcp,legdgn01,dcpaix21913504,dcppwr21175815,10.141.66.30,15,149,DGA_52_CI,10.141.66.31,DVEBMGS52
dcp,legdgi01,dcpaix21314367,dcppwr21175812,10.141.112.30,80,327,DGX_67_CI,10.141.112.31,SCS67
dcp,legdgi01,dcpaix21314367,dcppwr21175812,10.141.112.30,80,327,SGX_75_CI,10.141.112.32,SCS75
dcp,legdgi01,dcpaix21314367,dcppwr21175812,10.141.112.30,80,327,SGX_74_CI,10.141.112.32,DVEBMGS74
dcp,legdgi01,dcpaix21314367,dcppwr21175812,10.141.112.30,80,327,DGX_66_CI,10.141.112.31,DVEBMGS66
dcp,legpgi01,dcpaix21404401,dcppwr21137046,10.141.112.39,83,327,PGX_33_CI,10.141.112.44,SCS33
dcp,legpgi01,dcpaix21404401,dcppwr21137046,10.141.112.39,83,327,PGX_32_CI,10.141.112.44,DVEBMGS32
dcp,legpgi01,dcpaix21404635,dcppwr21175812,10.141.112.41,17,327,PGD_05_JI,10.141.112.42,SCS05
dcp,legpgn01,dcpaix21289331,dcppwr21175818,10.141.64.104,13,149,PGI_06_JI,10.141.64.105,SCS06
dcp,legpgn01,dcpaix21290383,dcppwr21175796,10.141.64.50,222,149,PGH_59_CI,10.141.64.51,DVEBMGS59
dcp,legpgn01,dcpaix21290504,dcppwr21137046,10.141.64.52,30,149,GPT_21_CI,10.141.64.53,SCS21
dcp,legpgn01,dcpaix21290504,dcppwr21137046,10.141.64.52,30,149,GPT_20_CI,10.141.64.53,DVEBMGS20
dcp,legpgn01,dcpaix21327933,dcppwr19322687,10.141.64.121,16,149,PN2_44_JI,10.141.64.124,SCS44
dcp,legpgn01,dcpaix21327933,dcppwr19322687,10.141.64.121,16,149,PNU_42_CI,10.141.64.122,DVEBMGS42
dcp,legpgn01,dcpaix21489540,dcppwr21175812,10.141.64.35,48,149,P6E_45_CI,10.141.64.36,DVEBMGS45
dcp,legdgn01,dcpaix21517877,dcppwr21137049,10.141.64.184,35,149,MGB_13_CI,10.141.64.185,DVEBMGS13
dcp,legpgn01,dcpaix21517960,dcppwr21137046,10.141.64.178,60,149,P8E_47_CI,10.141.64.179,DVEBMGS47
dcp,legpgn01,dcpaix21518072,dcppwr21175812,10.141.64.174,47,149,P9E_24_CI,10.141.64.175,DVEBMGS24
dcp,legpgn01,dcpaix21540532,dcppwr19322710,10.141.64.188,20,149,P7E_46_CI,10.141.64.189,DVEBMGS46
dcp,legpgn01,dcpaix21613970,dcppwr21175815,10.141.64.119,56,149,GCU_00_JI,10.141.64.120,SCS00
dcp,legpgn01,dcpaix21622728,dcppwr21402621,10.141.64.87,97,149,PGU_83_CI,10.141.64.88,DVEBMGS83
dcp,legpgn01,dcpaix21677177,dcppwr21175821,10.141.65.17,120,149,PRD_00_CI,10.141.65.18,DVEBMGS00
dcp,legpgn01,dcpaix21677935,dcppwr21175796,10.141.65.102,120,149,P2E_69_CI,10.141.65.103,DVEBMGS69
