dcp,legdgn01,dcpaix21578999,dcppwr21402010,10.141.64.248,25,149,,G31 G86,,SMDA93 SMDA83,,lindbgd81800c4 lindbgq82800c4,GD8 GQ8
dcp,legdgn01,dcpaix21579014,dcppwr21402010,10.141.64.243,30,149,,G55,,SMDA32,,lindbs8b5400c4,S8B
dcp,legdgn01,dcpaix21585299,dcppwr19322710,10.141.64.231,42,149,AGU,F63,DVEBMGS20,SMDA78,linciagu2000,linciagu2000,
dcp,legdgn01,dcpaix21613058,dcppwr21402010,10.141.65.28,43,149,,G33 G77,,SMDA70 SMDA66,,lindbgdb5300c4 lindbgqb6300c4,GDB GQB
dcp,legdgn01,dcpaix21614642,dcppwr21175815,10.141.64.147,49,149,GDU,,DVEBMGS65,,lincigdu6500,,
dcp,legdgn01,dcpaix21616713,dcppwr21402010,10.141.65.31,53,149,BWQ,G70,DVEBMGS72,SMDA73,lincibwq7200,lindbbwq7200c4,BWQ
dcp,legdgn01,dcpaix21617950,dcppwr21402621,10.141.64.95,73,149,GDA,E26 G32,DVEBMGS50,SMDA89 SMDA77,cigda50,lincigda5000 lindbgda5000c4,GDA
dcp,legdgn01,dcpaix21618125,dcppwr21175815,10.141.64.180,30,149,ZQ2 ZD2,E09 E68,DVEBMGS66 DVEBMGS56,SMDA62 SMDA85,lincizq26600 lincizd25600,lincizd25600 lincizq26600,
dcp,legdgn01,dcpaix21618215,dcppwr21402010,10.141.65.21,25,149,,G68 G22,,SMDA64 SMDA78,,lindbzq26600c4 lindbzd25600c4,ZD2 ZQ2
dcp,legdgn01,dcpaix21619650,dcppwr21175815,10.141.64.163,43,149,GDB GQB GDB GQB,E27 E77,DVEBMGS53 SCS64 SCS54 DVEBMGS63,SMDA88 SMDA86,lincigdb5300 lincigqb6300 lincigdb5300 lincigqb6300,lincigdb5300 lincigqb6300,
dcp,legdgn01,dcpaix21621467,dcppwr21402010,10.141.65.34,53,149,BWD,E21 G26,DVEBMGS71,SMDA76 SMDA75,lincibwd7100,lincibwd7100 lindbbwd7100c4,BWD
dcp,legdgn01,dcpaix21622719,dcppwr21402010,10.141.64.212,26,149,,,,,,,GDU
dcp,legdgn01,dcpaix21676879,dcppwr21402010,10.141.65.37,15,149,,,,,,,GDF
dcp,legdgn01,dcpaix21676882,dcppwr21402010,10.141.65.43,23,149,,G37,,SMDA71,,linjdgdl1100c4,GDL
dcp,legdgn01,dcpaix21677911,dcppwr21175818,10.141.65.81,39,149,GDL,GDL,SCS10,JC11,linjigdl1100,linjigdl1100,
dcp,legdgn01,dcpaix21677939,dcppwr21175818,10.141.65.77,18,149,GDF,GDF,SCS26,JC27,linjigdf2700,linjigdf2700,
dcp,legdgn01,dcpaix21700836,dcppwr21402010,10.141.65.122,22,149,PD1,PD1,SCS37,JC36,linjipd13600,linjipd13600,PD1
dcp,legdgn01,dcpaix21701257,dcppwr21175812,10.141.65.65,24,149,GQF,GQF,SCS29,JC30,linjigqf3000,linjigqf3000,
dcp,legdgn01,dcpaix21702346,dcppwr21175812,10.141.65.59,23,149,GQF,GQF,,J31,,linjigqf3100,
dcp,legdgn01,dcpaix21702413,dcppwr21402010,10.141.65.106,16,149,PFE,H77 H84,DVEBMGS07,SMDA63 SMDA62,lincipfe0700,lincipfe0700 lindbpfe0700c4,PFE
dcp,legdgn01,dcpaix21702425,dcppwr21402010,10.141.65.112,22,149,,,,,,,GQF
dcp,legdgn01,dcpaix21702597,dcppwr21175812,10.141.65.41,34,149,,,,,,,
dcp,legdgn01,dcpaix21741514,dcppwr21402010,10.141.65.116,30,149,AGE,,DVEBMGS02,,linciage0200,,AGE
dcp,legdgn01,dcpaix21741781,dcppwr21402010,10.141.65.144,40,149,JGB AGB,JGB,SCS01 DVEBMGS76,JC59,linjijgb5900 linciagb7600,linjijgb5900,AGB JGB
dcp,legdgn01,dcpaix21755526,dcppwr21402010,10.141.65.129,32,149,PT1,PT1,SCS35,JC34,linjipt13400,linjipt13400,PT1
dcp,legdgn01,dcpaix21758893,dcppwr21402010,10.141.65.134,17,149,,H84 G98,,SMDA66 SMDA64,,lindbhqs2100c4 lindbhps2200c4,HPS HQS
dcp,legdgn01,dcpaix21761953,dcppwr21695550,10.141.65.127,35,149,,,,,,,S02
dcp,legdgn01,dcpaix21762210,dcppwr21402010,10.141.65.125,13,149,,G89,,SMDA62,,linjdgrl1500c4,GRL
dcp,legdgn01,dcpaix21763143,dcppwr21175793,10.141.65.154,12,149,,,,,,,GQL
dcp,legdgn01,dcpaix21764174,dcppwr21175802,10.141.65.171,29,149,GQL,GQL,SCS18,JC19,linjigql1900,linjigql1900,
dcp,legdgn01,dcpaix21765395,dcppwr21175815,10.141.65.175,21,149,GRL,D12 GRL,SCS14,SMDA93 JC15,linjigrl1500,linjigrl1500 linjigrl1500,
dcp,legdgn01,dcpaix21765402,dcppwr21175815,10.141.65.180,17,149,HPS HQS,,DVEBMGS22 DVEBMGS21,,lincihps2200 lincihqs2100,,
dcp,legdgn01,dcpaix21765423,dcppwr21175815,10.141.65.177,25,149,S02,,DVEBMGS25,,lincis022500,,
dcp,legdgn01,dcpaix21765574,dcppwr21175815,10.141.65.173,37,149,GQL,GQL,,J20,,linjigql2000,
dcp,legdgn01,dcpaix21798451,dcppwr21695550,10.141.65.183,59,149,D03,,DVEBMGS28,,lincid032800,,D03
dcp,legdgn01,dcpaix21798716,dcppwr21175793,10.141.65.188,73,149,,G76,,SMDA67,,lindbgqa6000c4,GQA
dcp,legdgn01,dcpaix21830084,dcppwr21695550,10.141.65.195,150,149,T03,,DVEBMGS27,,lincit032700,,T03
dcp,legdgn01,dcpaix21911059,dcppwr21175793,10.141.65.85,12,149,,,,,,,
dcp,legdgn01,dcpaix21912302,dcppwr21656281,10.141.66.11,25,149,,,,,,,
dcp,legdgn01,dcpaix21912393,dcppwr21175815,10.141.66.26,40,149,TST,,DVEBMGS01,,lincitst0100,,
