ENV,CLUSTER,LPAR,PHYSICAL_LPAR,PHYSICAL_IP,SLICES,VLAN_ID,ABAP_SIDs,JAVA_SIDs,DATABASES,ABAP_INSTANCES,JAVA_INSTANCES,SAP_HOSTNAMES,JAVA_HOSTNAMES
dcp,legdgn01,dcpaix21414800,dcppwr21175799,10.141.64.91,60,149,A9E A1E,F62 G04 F60,A9E,DVEBMGS79 DVEBMGS81,SMDA75 SMDA63 SMDA76,lincia9e7900 lincia1e8100,lincia9e7900 lindba9e7900c4 lincia1e8100
dcp,legdgn01,dcpaix21414800,dcppwr21175799,10.141.64.91,60,149,A9E A1E,F62 G04 F60,A9E,DVEBMGS79 DVEBMGS81,SMDA75 SMDA63 SMDA76,lincia9e7900 lincia1e8100,lincia9e7900 lindba9e7900c4 lincia1e8100
dcp,legdgn01,dcpaix21414800,dcppwr21175799,10.141.64.91,60,149,A9E A1E,F62 G04 F60,A9E,DVEBMGS79 DVEBMGS81,SMDA75 SMDA63 SMDA76,lincia9e7900 lincia1e8100,lincia9e7900 lindba9e7900c4 lincia1e8100
dcp,legdgn01,dcpaix21415737,dcppwr21175799,10.141.64.131,70,149,,,A1E,,,,
dcp,legdgn01,dcpaix21493218,dcppwr21091681,10.141.64.72,22,149,,G14,M2E,,SMDA96,,lindbm2e2900c4
dcp,legdgn01,dcpaix21489534,dcppwr21175815,10.141.64.37,41,149,M2E,F64,,DVEBMGS29,SMDA97,lincim2e2900,lincim2e2900
dcp,legdgn01,dcpaix21518054,dcppwr21175799,10.141.64.76,25,149,,,JMG MGB,,,,
dcp,legdgn01,dcpaix21517856,dcppwr21137192,10.141.64.149,26,149,SGU DGU,E56,,DVEBMGS48 DVEBMGS49,SMDA71,lincisgu4800 lincidgu4900,lincisgu4800
dcp,legdgn01,dcpaix21530129,dcppwr21091681,10.141.64.206,42,149,,G61,DGU SGU,,SMDA28,,lindbsgu4800c4
dcp,legdgn01,dcpaix21517877,dcppwr21137049,10.141.64.184,35,149,MGB JMG,,LISTENER,DVEBMGS13 SCS04,,lincimgb1300 linjijmg4100,
dcp,legdgn01,dcpaix21530129,dcppwr21091681,10.141.64.206,42,149,,G61,DGU SGU,,SMDA28,,lindbsgu4800c4
dcp,legdgn01,dcpaix21530125,dcppwr21091681,10.141.64.203,62,149,S9B,,S9B,DVEBMGS14,,lincis9b1400,
dcp,legdgn01,dcpaix21530125,dcppwr21091681,10.141.64.203,62,149,S9B,,S9B,DVEBMGS14,,lincis9b1400,
dcp,legdgn01,dcpaix21517865,dcppwr21137192,10.141.64.153,16,149,TGE,,,DVEBMGS15,,lincitge1500,
dcp,legdgn01,dcpaix21530141,dcppwr21091681,10.141.64.218,17,149,,,TGE,,,,
dcp,legdgn01,dcpaix21579014,dcppwr21402010,10.141.64.243,30,149,,G55,S8B,,SMDA32,,lindbs8b5400c4
dcp,legdgn01,dcpaix21578870,dcppwr21175815,10.141.64.133,43,149,S8B,E47,,DVEBMGS54,SMDA88,lincis8b5400,lincis8b5400
dcp,legdgn01,dcpaix21578138,dcppwr21402621,10.141.64.109,62,149,S1B,G50 E41,S1B,DVEBMGS73,SMDA25 SMDA95,lincis1b7300,lindbs1b7300c4 lincis1b7300
dcp,legdgn01,dcpaix21578138,dcppwr21402621,10.141.64.109,62,149,S1B,G50 E41,S1B,DVEBMGS73,SMDA25 SMDA95,lincis1b7300,lindbs1b7300c4 lincis1b7300
dcp,legdgn01,dcpaix21578123,dcppwr21402621,10.141.64.190,106,149,,,AGU,,,,
dcp,legdgn01,dcpaix21585299,dcppwr19322710,10.141.64.231,42,149,AGU,F63,,DVEBMGS20,SMDA78,linciagu2000,linciagu2000
dcp,legdgn01,dcpaix21578999,dcppwr21402010,10.141.64.248,25,149,,G31 G86,GD8 GQ8,,SMDA93 SMDA83,,lindbgd81800c4 lindbgq82800c4
dcp,legdgn01,dcpaix21578623,dcppwr21175815,10.141.64.237,27,149,GD8 GQ8,E85 E25,,DVEBMGS18 DVEBMGS28,SMDA81 SMDA96,lincigd81800 lincigq82800,lincigq82800 lincigd81800
dcp,legdgn01,dcpaix21578990,dcppwr21402010,10.141.64.222,92,149,SCB SCJ,,SCB SCJ,DVEBMGS97 SCS05,,linciscb9700 linjiscj4400,
dcp,legdgn01,dcpaix21578990,dcppwr21402010,10.141.64.222,92,149,SCB SCJ,,SCB SCJ,DVEBMGS97 SCS05,,linciscb9700 linjiscj4400,
dcp,legdgn01,dcpaix21578999,dcppwr21402010,10.141.64.248,25,149,,G31 G86,GD8 GQ8,,SMDA93 SMDA83,,lindbgd81800c4 lindbgq82800c4
dcp,legdgn01,dcpaix21578623,dcppwr21175815,10.141.64.237,27,149,GD8 GQ8,E85 E25,,DVEBMGS18 DVEBMGS28,SMDA81 SMDA96,lincigd81800 lincigq82800,lincigq82800 lincigd81800
dcp,legdgn01,dcpaix21530129,dcppwr21091681,10.141.64.206,42,149,,G61,DGU SGU,,SMDA28,,lindbsgu4800c4
dcp,legdgn01,dcpaix21517856,dcppwr21137192,10.141.64.149,26,149,SGU DGU,E56,,DVEBMGS48 DVEBMGS49,SMDA71,lincisgu4800 lincidgu4900,lincisgu4800
dcp,legdgn01,dcpaix21621467,dcppwr21402010,10.141.65.34,53,149,BWD,E21 G26,BWD,DVEBMGS71,SMDA76 SMDA75,lincibwd7100,lincibwd7100 lindbbwd7100c4
dcp,legdgn01,dcpaix21621467,dcppwr21402010,10.141.65.34,53,149,BWD,E21 G26,BWD,DVEBMGS71,SMDA76 SMDA75,lincibwd7100,lincibwd7100 lindbbwd7100c4
dcp,legdgn01,dcpaix21613058,dcppwr21402010,10.141.65.28,43,149,,G33 G77,GDB GQB,,SMDA70 SMDA66,,lindbgdb5300c4 lindbgqb6300c4
dcp,legdgn01,dcpaix21619650,dcppwr21175815,10.141.64.163,43,149,GDB GQB GDB GQB,E27 E77,,DVEBMGS53 DVEBMGS63 SCS54 SCS64,SMDA88 SMDA86,lincigdb5300 lincigqb6300 lincigdb5300 lincigqb6300,lincigdb5300 lincigqb6300
dcp,legdgn01,dcpaix21622719,dcppwr21402010,10.141.64.212,26,149,,,GDU,,,,
dcp,legdgn01,dcpaix21614642,dcppwr21175815,10.141.64.147,49,149,GDU,,,DVEBMGS65,,lincigdu6500,
dcp,legdgn01,dcpaix21618215,dcppwr21402010,10.141.65.21,25,149,,G68 G22,ZD2 ZQ2,,SMDA64 SMDA78,,lindbzq26600c4 lindbzd25600c4
dcp,legdgn01,dcpaix21613058,dcppwr21402010,10.141.65.28,43,149,,G33 G77,GDB GQB,,SMDA70 SMDA66,,lindbgdb5300c4 lindbgqb6300c4
dcp,legdgn01,dcpaix21619650,dcppwr21175815,10.141.64.163,43,149,GDB GQB GDB GQB,E27 E77,,DVEBMGS53 DVEBMGS63 SCS54 SCS64,SMDA88 SMDA86,lincigdb5300 lincigqb6300 lincigdb5300 lincigqb6300,lincigdb5300 lincigqb6300
